User_ID,Age,Gender,Daily_Screen_Time(hrs),Sleep_Quality(1-10),Stress_Level(1-10),Days_Without_Social_Media,Exercise_Frequency(week),Social_Media_Platform,Happiness_Index(1-10)
U0144,24,Male,7,8,10,,4,LinkedIn,10
U0145,39,Female,6.6,9,8,1,3,LinkedIn,1
U0146,45,Female,7,7,9,1,7,X (Twitter),1
U0147,19,Female,3.8,1,8,6,3,Instagram,3
U0148,,Other,5,4,5,5,2,YouTube,9
U0149,23,Male,,4,1,4,0,X (Twitter),6
U0150,45,,7.8,10,9,6,3,Instagram,2
U0151,45,Female,,3,10,5,1,YouTube,8
U0152,37,Female,4.3,4,10,1,0,X (Twitter),10
U0153,47,Male,,9,10,4,5,Facebook,3
U0154,28,Male,3,1,10,5,1,YouTube,1
U0155,45,Female,1.1,2,5,0,7,X (Twitter),10
U0156,42,Male,,7,7,3,7,Instagram,6
U0157,56,Female,2.6,9,7,5,7,,4
U0158,50,Male,4.4,7,4,6,1,Instagram,6
U0159,18,Male,3.6,1,8,4,1,TikTok,8
U0160,44,Male,8,7,10,4,7,TikTok,4
U0161,,Female,4,6,9,1,6,X (Twitter),4
U0162,58,Female,6.8,1,,0,5,YouTube,6
U0163,20,Female,7.1,,2,3,7,LinkedIn,2
U0164,56,Female,5.1,2,10,,3,YouTube,3
U0165,23,Male,1.7,6,4,3,2,X (Twitter),2
U0166,25,Male,7.3,4,2,2,,X (Twitter),9
U0167,44,Female,1.7,4,1,0,3,LinkedIn,4
U0168,26,,1.9,6,1,,6,Facebook,3
U0169,54,Female,2.8,9,4,3,2,Instagram,2
U0170,,Female,3.5,1,9,4,,LinkedIn,1
U0171,59,Male,8.6,2,9,7,1,Instagram,2
U0172,41,Male,7.1,8,,7,5,TikTok,4
U0173,32,Female,4.5,8,5,2,4,TikTok,4
U0174,49,Male,9.8,6,6,6,1,X (Twitter),7
U0175,49,Male,3.2,6,1,,4,YouTube,3
U0176,41,Female,,8,3,3,1,YouTube,7
U0177,58,,8.6,2,1,3,7,Facebook,4
U0178,29,Female,8.2,2,10,6,2,TikTok,9
U0179,56,Male,1.8,1,5,7,6,Facebook,7
U0180,19,Female,7.3,6,4,2,2,Instagram,2
U0181,,Female,3.3,6,3,5,5,X (Twitter),9
U0182,54,,4.2,6,,0,7,YouTube,9
U0183,34,Male,5.4,2,6,5,2,TikTok,2
U0184,19,Male,8.1,7,9,7,0,TikTok,8
U0185,19,Male,2.5,3,4,4,5,LinkedIn,7
U0186,45,Male,2,1,9,7,5,X (Twitter),1
U0187,40,Female,2.4,1,4,3,7,X (Twitter),1
U0188,54,Male,3,9,8,0,1,LinkedIn,8
U0189,49,Male,1.5,3,8,3,6,TikTok,10
U0190,50,Male,9.3,8,2,3,,TikTok,5
U0191,18,Female,3.9,10,10,7,4,YouTube,9
U0192,36,Male,2.6,7,8,6,,,3
U0193,19,Female,6.7,2,,3,5,X (Twitter),3
U0194,43,Female,8.1,2,8,0,0,Instagram,8
U0195,49,Female,7.8,4,6,1,5,Instagram,5
,23,Female,7.5,2,3,4,2,X (Twitter),1
U0197,49,Male,1.5,5,7,4,,X (Twitter),9
U0198,21,Female,8,,6,1,2,Facebook,2
U0199,28,Female,5.5,7,3,3,5,Instagram,7
U0200,34,Female,6.8,2,,1,6,TikTok,8
,55,Female,9.6,9,4,5,6,Facebook,4
U0202,41,Male,8.3,1,6,2,3,Facebook,3
,22,Male,8.4,2,1,2,2,LinkedIn,1
U0204,51,Female,2.6,7,,,1,,10
U0205,23,Female,5.3,5,8,0,,YouTube,7
U0206,39,Male,9.5,1,8,2,7,Facebook,7
U0207,28,Male,6.2,4,9,,5,X (Twitter),9
,,Male,1.9,8,8,5,5,Facebook,6
U0209,50,Female,7.6,5,2,1,6,LinkedIn,4
U0210,26,Female,1.4,,5,7,3,YouTube,1
,23,,7.7,9,8,6,3,X (Twitter),6
U0212,33,Male,8.9,1,9,7,6,YouTube,2
U0213,46,Male,4.8,,6,5,0,YouTube,10
U0214,20,Male,4.7,10,4,7,3,TikTok,9
U0215,37,Male,3.7,5,9,0,1,YouTube,7
U0216,53,Female,8.9,9,4,6,4,YouTube,1
U0217,36,Male,5.9,6,6,1,3,YouTube,4
U0218,,Female,,5,,0,0,Instagram,5
U0219,20,,7,6,,7,5,TikTok,3
U0220,36,Female,3.7,6,4,4,4,Instagram,9
,37,Male,4.9,9,10,1,7,YouTube,9
U0222,49,Male,7.7,9,3,2,3,Instagram,9
U0223,24,Male,9.9,5,8,2,1,X (Twitter),2
U0224,58,Female,1.3,4,7,5,1,LinkedIn,3
U0225,50,Female,1.4,1,10,6,4,LinkedIn,10
U0226,57,Male,4.9,6,1,0,0,LinkedIn,7
U0227,56,Male,6.9,7,8,1,1,,6
U0228,35,Female,4.5,7,7,3,7,X (Twitter),8
U0229,57,Female,10,1,2,6,2,Facebook,1
U0230,18,Other,,6,10,7,2,TikTok,8
,28,Male,1.1,8,4,2,7,LinkedIn,1
U0232,45,Male,2.7,3,2,2,3,Instagram,6
U0233,42,Male,9,1,,1,1,Facebook,8
U0234,40,Male,2.3,7,8,1,2,YouTube,10
U0235,48,Female,5.3,4,1,,3,X (Twitter),7
U0236,47,Male,4.8,5,1,7,,LinkedIn,3
U0237,59,Male,7,2,,7,,Instagram,7
U0238,52,Female,1.5,7,5,5,0,Facebook,3
U0239,24,Male,6.9,1,1,5,3,LinkedIn,3
U0240,33,Female,4.2,,4,3,0,Facebook,5
U0241,43,Male,9.3,8,2,7,2,TikTok,2
U0242,19,Female,8.6,7,9,,7,YouTube,1
U0243,18,Male,4.6,7,10,2,3,,4
,29,Female,9.9,7,6,1,2,Instagram,4
U0245,22,,1.5,5,9,7,1,YouTube,4
U0246,54,Male,8.1,10,1,2,7,Instagram,10
U0247,49,Female,4.9,3,1,6,7,X (Twitter),10
U0248,,Male,4.9,10,4,7,0,Instagram,9
U0249,58,Male,2.5,7,2,3,6,LinkedIn,3
U0250,52,Female,5.6,8,1,5,7,YouTube,6
U0251,36,,1.8,7,6,7,6,Instagram,7
U0252,33,Male,6.5,,8,5,2,TikTok,7
,20,Male,3.2,9,1,6,3,Facebook,5
U0254,37,Male,7.5,6,10,4,2,Instagram,2
U0255,41,Male,6.5,5,10,4,3,YouTube,2
U0256,50,Other,7.7,6,,3,4,TikTok,9
U0257,41,Female,7.7,10,1,1,5,LinkedIn,1
U0258,28,Male,2.8,4,8,4,0,YouTube,1
U0259,25,Other,1,6,6,6,1,X (Twitter),8
U0260,53,Female,4.3,4,1,6,2,Facebook,7
U0261,55,Female,9.3,5,9,1,6,TikTok,9
U0262,57,Male,6.2,6,1,0,5,Facebook,6
U0263,37,Male,7.5,1,9,2,2,Instagram,3
U0264,52,Female,8.9,6,,6,4,Facebook,2
U0265,42,Male,9.2,6,8,7,3,Instagram,7
U0266,,Male,5.8,1,8,0,1,LinkedIn,1
U0267,,Male,5.9,7,7,,3,TikTok,8
U0268,46,,8.7,10,2,6,3,YouTube,8
U0269,35,Female,8.3,5,3,6,2,TikTok,9
U0270,35,Female,7.3,8,5,4,2,YouTube,9
U0271,19,Male,6.4,5,5,4,2,LinkedIn,9
U0272,52,,,10,2,1,7,YouTube,7
,33,Female,4.3,5,1,,5,Facebook,3
U0274,58,Male,8.6,2,5,,0,YouTube,10
U0275,53,Female,6.6,4,5,3,0,X (Twitter),6
U0276,50,Female,3,4,3,4,2,X (Twitter),6
U0277,21,Male,,10,8,,,Facebook,2
U0278,,Female,8.8,10,6,3,1,Facebook,4
U0279,31,,6.6,8,2,5,1,,2
U0280,38,Male,4.6,3,2,2,3,X (Twitter),3
U0281,37,Male,2.7,1,4,5,7,LinkedIn,7
U0282,25,Other,6.5,7,6,1,5,X (Twitter),8
,24,Male,2.7,9,9,3,6,YouTube,1
,20,Female,5.2,6,,2,7,TikTok,8
U0285,34,Female,7.1,2,8,4,4,TikTok,8
U0286,50,Male,6.1,2,2,4,3,TikTok,7
U0287,,Male,9.3,1,4,3,1,,7
U0288,,Female,1.4,6,6,5,4,YouTube,3
U0289,39,Male,3.5,,6,4,5,Facebook,9
U0290,47,,1.5,1,10,1,5,LinkedIn,3
,55,Female,2.8,1,6,6,4,TikTok,7
U0292,55,,2.1,1,8,4,7,YouTube,8
U0293,25,Male,7.6,10,8,0,1,LinkedIn,2
U0294,44,Female,4.3,5,7,4,,YouTube,4
U0295,44,Female,9.3,7,5,3,5,YouTube,4
U0296,51,Female,1.2,4,6,2,0,X (Twitter),7
U0297,38,Male,6.9,1,6,1,2,LinkedIn,6
,47,Female,9.7,1,3,1,5,Facebook,10
U0299,50,Female,2.6,10,3,2,5,TikTok,6
U0300,45,Male,5,,7,1,4,Facebook,6
U0301,50,Other,7.3,5,6,7,4,Facebook,9
U0302,22,Male,6.7,5,5,5,,X (Twitter),4
,36,Male,6.1,9,6,3,0,Facebook,10
U0304,21,Female,3.9,9,6,,7,Facebook,2
U0305,52,Male,7.6,9,4,2,7,YouTube,2
U0306,34,Female,6.9,8,5,3,3,YouTube,9
U0307,45,Female,2.5,9,7,0,6,TikTok,4
U0308,47,Male,9.7,8,1,3,1,Instagram,10
U0309,46,Male,6,8,10,1,7,TikTok,9
U0310,23,Female,5.7,8,6,2,3,TikTok,1
U0311,52,Female,8.6,,5,5,5,YouTube,2
U0312,58,Female,6.8,5,6,,7,Facebook,7
U0313,54,,1.7,10,1,3,1,X (Twitter),7
U0314,41,Male,5.6,3,4,0,6,LinkedIn,1
U0315,46,Male,8,4,8,7,0,TikTok,8
U0316,48,Female,7.3,9,4,4,2,Instagram,7
U0317,52,Female,9.7,7,10,4,1,TikTok,10
U0318,50,Male,1.2,9,8,0,1,Facebook,2
U0319,38,,3.4,7,8,,7,TikTok,1
U0320,49,,5.9,8,2,4,7,Facebook,2
,40,,6.6,3,6,4,0,Facebook,7
U0322,50,Male,3.5,8,7,7,,X (Twitter),10
U0323,20,Female,8.4,4,7,5,3,,4
U0324,35,Female,2.5,6,1,6,7,LinkedIn,6
U0325,42,Female,1,1,4,6,2,LinkedIn,5
U0326,59,Female,9.6,2,7,5,,TikTok,8
U0327,,Female,4.5,7,6,7,6,LinkedIn,7
U0328,20,Female,9.6,6,3,7,1,X (Twitter),7
U0329,57,Other,3.5,10,10,2,4,Instagram,9
U0330,41,,1.6,5,10,2,0,YouTube,4
U0331,49,Male,8,7,1,4,1,,9
U0332,39,,8.5,2,5,1,4,TikTok,3
U0333,40,Male,,10,8,4,5,LinkedIn,3
U0334,19,Male,1.7,4,3,4,3,X (Twitter),5
U0335,44,Male,6.9,5,5,4,7,Instagram,10
U0336,59,Male,2.6,8,9,1,0,YouTube,3
U0337,19,Male,8.6,6,,1,4,LinkedIn,9
U0338,43,Male,3.5,6,9,5,6,Instagram,1
U0339,34,,8.6,5,5,4,4,LinkedIn,6
U0340,57,Female,4.8,,3,3,1,TikTok,7
U0341,50,Female,6.4,5,9,5,5,YouTube,1
U0342,26,Male,8.1,1,4,0,5,LinkedIn,5
,56,Female,1.4,,1,7,6,X (Twitter),9
U0344,46,Female,8.4,9,2,2,,Facebook,6
U0345,59,Female,2.2,2,8,0,5,LinkedIn,4
U0346,43,Male,4.2,6,2,2,6,X (Twitter),4
U0347,52,Male,5.3,2,6,6,6,LinkedIn,5
U0348,42,Female,9.1,9,5,5,0,,5
U0349,41,Female,1.2,,9,0,0,Facebook,6
U0350,30,,6,,8,5,3,Instagram,3
U0351,24,Female,6.8,10,1,7,2,LinkedIn,4
U0352,53,Male,3.8,5,3,,1,Facebook,5
U0353,37,Female,3.6,9,5,6,6,,2
U0354,18,Male,5.4,,8,6,4,Instagram,10
U0355,,Female,2.7,7,7,4,6,LinkedIn,4
U0356,33,Other,5.2,8,2,7,1,LinkedIn,7
U0357,31,,7.9,3,,,6,Instagram,4
U0358,29,Male,8.6,1,5,4,7,Facebook,8
U0359,40,Male,4.5,2,6,4,7,Facebook,1
U0360,32,Female,6.6,10,8,5,3,TikTok,9
U0361,45,Female,1,5,5,6,4,X (Twitter),5
U0362,51,Female,6,9,9,,7,YouTube,2
U0363,19,Female,9.8,5,1,2,2,Instagram,6
U0364,49,Male,3.8,1,5,6,5,Instagram,4
U0365,40,Female,6.4,1,1,,3,Facebook,8
U0366,39,Female,7.9,2,1,1,1,Instagram,8
U0367,42,Other,6.5,1,1,4,4,,10
U0368,39,Male,4.8,8,5,5,0,LinkedIn,7
U0369,39,Female,2.4,,9,7,4,,3
U0370,59,,5.2,8,2,,4,LinkedIn,10
U0371,23,Female,3.7,5,,1,3,LinkedIn,4
U0372,32,Female,7.3,1,5,1,2,TikTok,3
U0373,54,Male,5,,7,3,4,Facebook,1
U0374,,Male,,2,7,6,5,LinkedIn,7
U0375,,Female,2.7,6,3,6,4,,10
U0376,22,Female,4.8,5,6,0,7,Facebook,8
U0377,56,Male,6,9,3,2,6,YouTube,8
U0378,21,Male,2.1,,2,2,,X (Twitter),8
U0379,23,,6.3,5,5,2,7,Instagram,1
U0380,49,Female,3.6,10,4,2,2,Facebook,1
U0381,,Male,3.1,7,4,6,7,YouTube,10
U0382,52,Female,,9,4,0,7,TikTok,5
U0383,,Male,4.1,3,8,6,2,,10
U0384,33,Male,,4,,1,7,LinkedIn,3
U0385,30,,1.3,1,,1,5,TikTok,1
U0386,59,Female,8.7,2,9,6,7,TikTok,2
U0387,47,Male,,3,3,5,4,X (Twitter),8
U0388,36,,6.1,10,1,,0,Facebook,5
U0389,34,Male,5.6,7,5,1,,,4
U0390,36,Other,9.3,,4,0,0,Facebook,2
U0391,45,Female,7.9,1,10,0,3,TikTok,8
U0392,43,Female,9.9,9,8,7,7,YouTube,6
U0393,54,Female,8.1,3,9,1,3,X (Twitter),8
U0394,43,Female,3.7,,10,5,0,X (Twitter),1
U0395,40,Female,9.7,2,5,6,0,TikTok,3
,,Male,9.9,3,1,6,,Facebook,1
U0397,29,Male,2.1,6,4,7,2,LinkedIn,4
U0398,18,Female,9.1,10,3,6,6,YouTube,5
U0399,18,Male,,4,6,1,1,Facebook,6
U0400,,Male,9.3,2,2,0,3,X (Twitter),6
U0401,49,Female,9.2,8,5,3,6,,7
U0402,42,Male,9,1,8,,3,Instagram,6
U0403,57,Female,9,10,5,2,3,Instagram,3
U0404,18,Male,2.1,8,5,0,1,TikTok,2
U0405,,Other,2.3,2,8,7,4,Instagram,8
U0406,56,Female,2.1,9,5,1,,LinkedIn,6
U0407,22,Female,1.8,4,4,5,4,X (Twitter),1
U0408,,Male,4.2,4,10,7,7,X (Twitter),10
U0409,46,Female,7.2,7,9,0,2,Instagram,10
U0410,,Female,4.2,3,2,7,6,,9
U0411,29,Female,7.5,10,1,1,0,TikTok,2
U0412,43,Female,8.4,3,4,0,0,YouTube,10
U0413,33,Male,7,,10,6,2,Instagram,5
U0414,54,Female,,10,3,1,0,Instagram,2
U0415,39,Female,3.7,3,9,3,2,LinkedIn,9
U0416,46,Male,2.1,10,3,5,0,X (Twitter),9
U0417,31,Female,5.4,8,3,6,7,Instagram,3
U0418,45,Female,7.5,9,10,4,2,Facebook,2
U0419,22,Female,5.9,5,7,7,7,TikTok,8
U0420,47,Male,7.5,3,2,1,2,LinkedIn,9
U0421,22,Female,4,7,8,,0,TikTok,2
U0422,29,Other,1.6,3,6,3,4,LinkedIn,9
U0423,,Female,7.9,,,4,3,LinkedIn,3
U0424,43,Female,3,4,8,6,3,YouTube,1
U0425,43,Female,6.5,,4,7,6,Instagram,6
U0426,38,Female,8.2,6,,1,1,TikTok,2
U0427,56,Female,2.3,7,4,2,5,Instagram,1
U0428,53,,6.4,4,5,0,5,X (Twitter),4
U0429,50,Male,7.2,6,10,7,1,TikTok,9
U0430,47,Male,7.7,,7,0,0,Instagram,8
U0431,54,Male,2.3,7,6,6,3,Instagram,3
,40,Male,8.4,10,5,0,5,LinkedIn,8
U0433,27,Male,1.8,8,2,,1,YouTube,6
U0434,22,Female,5.7,10,5,1,3,TikTok,5
U0435,53,Male,5,9,10,2,6,Facebook,1
U0436,51,,3,3,7,7,2,LinkedIn,9
U0437,48,Male,3.7,5,6,2,4,TikTok,2
U0438,27,,2.5,10,6,2,2,X (Twitter),9
U0439,36,Male,,3,5,5,1,Instagram,5
U0440,49,Male,1.3,5,9,4,7,TikTok,3
U0441,18,Male,9,2,1,5,1,Instagram,10
U0442,22,Female,2.5,3,4,7,7,YouTube,7
U0443,21,Female,9,7,7,6,0,YouTube,1
,33,Female,8.8,8,1,1,4,TikTok,5
,41,Male,5.1,5,4,3,5,YouTube,5
U0446,,Female,,3,6,4,6,LinkedIn,7
U0447,,Female,3.7,4,10,1,6,Instagram,8
U0448,45,Male,10,3,,2,4,X (Twitter),8
U0449,49,Male,7,,7,5,3,LinkedIn,1
U0450,44,Male,9.6,9,9,1,7,TikTok,4
U0451,37,Female,4.7,4,7,2,0,X (Twitter),6
U0452,41,Male,8.9,6,3,3,4,YouTube,10
U0453,29,,,3,10,2,1,YouTube,2
U0454,52,Female,8.8,8,4,4,2,Instagram,7
U0455,50,Female,2.2,4,3,,2,LinkedIn,9
U0456,50,Female,6.7,8,9,7,6,,10
U0457,54,,,,8,0,5,,5
U0458,29,Female,6.9,,10,2,4,LinkedIn,5
U0459,20,Female,5,,9,7,2,TikTok,5
U0460,18,Male,7.2,3,,7,1,Facebook,9
U0461,,Male,3.2,3,10,2,,Instagram,5
U0462,,Female,6.4,5,2,7,6,,4
U0463,27,Other,6,3,5,0,3,X (Twitter),8
U0464,46,Female,3.9,8,5,7,,YouTube,4
U0465,30,Male,8,10,7,4,6,X (Twitter),8
U0466,29,Male,1.7,7,4,3,4,LinkedIn,7
U0467,48,Male,2.5,1,4,5,6,YouTube,8
,19,Female,5.2,6,8,3,,Instagram,2
U0469,52,Female,9,2,1,4,7,TikTok,4
U0470,40,Female,6.2,8,6,1,6,YouTube,3
U0471,34,Female,8.6,10,9,6,1,Instagram,7
U0472,43,Male,5.7,8,2,6,1,X (Twitter),9
U0473,25,Male,8.1,7,5,3,2,YouTube,6
U0474,46,Male,3.9,8,10,5,5,LinkedIn,4
U0475,43,Female,8.3,1,10,7,3,,10
U0476,27,Male,4.6,8,9,,7,LinkedIn,4
U0477,43,Female,6,1,4,,7,X (Twitter),3
U0478,51,Female,2.6,3,9,6,5,Instagram,6
U0479,58,Male,9.3,4,8,5,7,X (Twitter),3
U0480,24,Male,7.3,3,9,4,0,,5
U0481,21,Male,8.7,2,2,5,,LinkedIn,5
U0482,28,Female,2.9,3,10,2,4,LinkedIn,5
U0483,46,Male,1.6,9,5,5,1,Facebook,7
U0484,53,Male,4,2,,0,2,Facebook,5
U0485,,Female,5.7,5,9,1,2,TikTok,1
U0486,38,Female,8.2,,5,7,4,Instagram,7
U0487,53,Female,4.6,9,4,1,5,TikTok,7
U0488,27,Female,3.4,7,8,5,0,YouTube,10
U0489,54,,4.4,10,6,2,0,Instagram,3
U0490,,Female,,3,2,7,3,,6
,41,Male,4,2,,7,1,X (Twitter),5
U0492,52,,9.8,,5,3,4,X (Twitter),1
U0493,52,Female,2.6,5,7,1,7,YouTube,7
U0494,53,Female,7.8,9,4,,5,YouTube,4
U0495,35,Female,6.3,2,9,,0,Instagram,2
U0496,56,Female,3.1,2,2,1,6,Facebook,2
U0497,49,Female,7.8,8,10,6,0,X (Twitter),8
U0498,41,Male,5,3,9,5,2,Instagram,3
U0499,40,Male,7.1,3,4,,3,LinkedIn,6
U0500,49,Male,7,6,6,2,4,LinkedIn,8
U0501,54,Female,2,6,5,3,3,LinkedIn,7
U0502,29,Male,8.6,6,3,5,7,Instagram,3
U0503,30,Male,,,7,4,0,Instagram,9
U0504,40,Male,8,4,4,2,3,TikTok,2
U0505,,Male,5,9,,3,6,Instagram,8
U0506,52,Male,2.8,,8,1,0,LinkedIn,7
,58,Male,3.9,1,3,7,5,Instagram,10
U0508,,Female,9.1,8,6,1,2,LinkedIn,2
,34,Male,9.4,,2,7,5,LinkedIn,5
